iter	Passed	Remaining
438	547	699
439	548	697
440	549	696
441	551	696
442	553	695
443	554	693
444	555	692
445	556	690
446	557	689
447	558	687
448	558	685
449	559	684
450	560	682
451	561	680
452	562	679
453	563	677
454	564	676
455	565	674
456	566	673
457	567	671
458	568	670
459	569	668
460	570	666
461	570	664
462	571	663
463	572	661
464	573	659
465	574	658
466	575	656
467	575	654
468	576	652
469	577	651
470	578	649
471	579	647
472	580	646
473	581	645
474	582	643
475	583	641
476	584	640
477	584	638
478	585	637
479	586	635
480	587	633
481	587	631
482	588	630
483	589	628
484	590	626
485	590	624
486	591	623
487	592	621
488	593	620
489	594	619
490	595	617
491	597	616
492	598	615
493	599	614
494	600	612
495	601	611
496	602	609
497	603	608
498	604	606
499	605	605
500	605	603
501	606	602
502	607	600
503	608	598
504	609	597
505	610	596
506	611	594
507	612	593
508	613	591
509	614	589
510	614	588
511	615	586
512	616	585
513	617	583
514	618	582
515	619	580
516	620	579
517	621	577
518	621	576
519	622	574
520	623	573
521	624	572
522	626	571
523	627	569
524	628	568
525	629	566
526	629	565
527	630	563
528	631	562
529	632	560
530	633	559
531	633	557
532	634	556
533	635	554
534	636	553
535	637	551
536	638	550
537	638	548
538	639	547
539	641	546
540	642	544
541	643	543
542	644	542
543	644	540
544	645	539
545	646	537
546	647	536
547	648	534
548	649	533
549	650	531
550	650	530
551	651	528
552	652	527
553	653	525
554	653	524
555	654	523
556	656	521
557	657	520
558	658	519
559	659	518
560	661	517
561	662	516
562	663	514
563	664	513
564	664	511
565	665	510
566	666	508
567	667	507
568	667	505
569	668	504
570	669	502
571	670	501
572	671	500
573	673	499
574	674	498
575	674	496
576	675	495
577	676	494
578	677	492
579	678	491
580	679	489
581	680	488
582	680	487
583	681	485
584	682	484
585	683	482
586	683	481
587	684	479
588	685	478
589	686	477
590	687	475
591	695	479
592	696	478
593	697	476
594	698	475
595	699	474
596	703	475
597	708	476
598	709	474
599	717	478
600	719	477
601	720	476
602	721	475
603	722	473
604	723	472
605	724	471
606	725	469
607	726	468
608	728	467
609	729	466
610	730	464
611	731	463
612	732	462
613	733	461
614	734	459
615	735	458
616	736	457
617	737	455
618	738	454
619	739	453
620	740	451
621	740	450
622	742	449
623	743	447
624	744	446
625	745	445
626	749	445
627	750	444
628	751	442
629	751	441
630	752	440
631	753	438
632	754	437
633	755	436
634	756	434
635	757	433
636	758	431
637	758	430
638	759	429
639	760	427
640	761	426
641	762	425
642	763	423
643	764	422
644	765	421
645	766	420
646	767	418
647	768	417
648	769	415
649	770	414
650	770	413
651	771	411
652	772	410
653	773	409
654	773	407
655	774	406
656	775	405
657	776	403
658	777	402
659	778	401
660	779	400
661	781	398
662	781	397
663	782	396
664	783	394
665	784	393
666	785	392
667	785	390
668	786	389
669	787	387
670	788	386
671	789	385
672	789	383
673	790	382
674	791	380
675	791	379
676	793	378
677	794	377
678	795	375
679	796	374
680	796	373
681	797	372
682	798	370
683	799	369
684	800	368
685	801	366
686	802	365
687	803	364
688	804	362
689	804	361
690	805	360
691	806	359
692	808	358
693	809	356
694	810	355
695	810	354
696	811	352
697	812	351
698	813	350
699	814	349
700	815	347
701	816	346
702	817	345
703	818	344
704	819	342
705	820	341
706	821	340
707	822	339
708	823	338
709	825	336
710	826	335
711	827	334
712	828	333
713	829	332
714	830	330
715	830	329
716	831	328
717	832	327
718	833	325
719	834	324
720	835	323
721	836	321
722	836	320
723	839	320
724	840	318
725	841	317
726	842	316
727	843	315
728	844	313
729	845	312
730	846	311
731	847	310
732	848	309
733	849	307
734	850	306
735	851	305
736	852	304
737	853	302
738	854	301
739	855	300
740	856	299
741	857	298
742	858	296
743	859	295
744	860	294
745	861	293
746	862	292
747	863	290
748	864	289
749	865	288
750	866	287
751	867	286
752	868	284
753	870	284
754	872	283
755	873	281
756	874	280
757	875	279
758	877	278
759	878	277
760	879	276
761	880	274
762	881	273
763	882	272
764	883	271
765	884	270
766	885	269
767	886	267
768	887	266
769	888	265
770	889	264
771	890	262
772	891	261
773	892	260
774	893	259
775	894	258
776	895	256
777	895	255
778	896	254
779	897	253
780	900	252
781	901	251
782	902	250
783	903	249
784	904	247
785	905	246
786	906	245
787	907	244
788	908	243
789	909	241
790	910	240
791	911	239
792	912	238
793	913	237
794	916	236
795	917	235
796	918	234
797	919	232
798	920	231
799	921	230
800	922	229
801	923	228
802	924	226
803	925	225
804	926	224
805	928	223
806	929	222
807	930	221
808	931	219
809	932	218
810	933	217
811	934	216
812	935	215
813	936	213
814	936	212
815	938	211
816	939	210
817	940	209
818	941	208
819	943	207
820	944	205
821	945	204
822	946	203
823	947	202
824	948	201
825	949	200
826	950	198
827	951	197
828	952	196
829	952	195
830	953	193
831	954	192
832	955	191
833	956	190
834	957	189
835	958	188
836	959	186
837	960	185
838	961	184
839	962	183
840	963	182
841	964	181
842	965	179
843	966	178
844	967	177
845	968	176
846	969	175
847	970	173
848	971	172
849	972	171
850	974	170
851	975	169
852	976	168
853	977	167
854	978	165
855	979	164
856	980	163
857	980	162
858	981	161
859	982	159
860	983	158
861	984	157
862	985	156
863	986	155
864	986	154
865	988	152
866	989	151
867	990	150
868	991	149
869	992	148
870	993	147
871	994	145
872	995	144
873	996	143
874	997	142
875	998	141
876	999	140
877	1000	138
878	1000	137
879	1001	136
880	1002	135
881	1003	134
882	1004	133
883	1005	131
884	1006	130
885	1007	129
886	1008	128
887	1009	127
888	1010	126
889	1011	125
890	1012	123
891	1013	122
892	1014	121
893	1015	120
894	1016	119
895	1018	118
896	1020	117
897	1021	115
898	1022	114
899	1023	113
900	1024	112
901	1024	111
902	1026	110
903	1026	109
904	1027	107
905	1028	106
906	1029	105
907	1030	104
908	1031	103
909	1032	102
910	1033	101
911	1035	99
912	1036	98
913	1037	97
914	1038	96
915	1039	95
916	1039	94
917	1040	92
918	1041	91
919	1042	90
920	1043	89
921	1044	88
922	1045	87
923	1046	86
924	1047	84
925	1048	83
926	1050	82
927	1051	81
928	1052	80
929	1053	79
930	1054	78
931	1055	76
932	1055	75
933	1056	74
934	1057	73
935	1058	72
936	1059	71
937	1060	70
938	1061	68
939	1061	67
940	1063	66
941	1064	65
942	1066	64
943	1067	63
944	1068	62
945	1069	61
946	1070	59
947	1071	58
948	1072	57
949	1073	56
950	1074	55
951	1075	54
952	1076	53
953	1077	51
954	1079	50
955	1080	49
956	1081	48
957	1082	47
958	1083	46
959	1084	45
960	1085	44
961	1086	42
962	1087	41
963	1087	40
964	1088	39
965	1089	38
966	1090	37
967	1091	36
968	1092	34
969	1093	33
970	1094	32
971	1095	31
972	1097	30
973	1098	29
974	1099	28
975	1100	27
976	1101	25
977	1102	24
978	1102	23
979	1103	22
980	1104	21
981	1105	20
982	1106	19
983	1106	17
984	1107	16
985	1109	15
986	1110	14
987	1111	13
988	1112	12
989	1113	11
990	1115	10
991	1116	9
992	1117	7
993	1117	6
994	1118	5
995	1119	4
996	1120	3
997	1121	2
998	1122	1
999	1123	0
